title,lyrics,tags,instrumental,model
,"[Intro]

[Verse]
I will sing of steadfast love and justice,
    to you, O Lord, I will make music,
I will ponder the way that is blameless,
    Oh when will you come to me? I will walk with integrity of heart within my house,

[pre-chorus]
it shall not cling to me,
    A perverse heart shall be far from me,
I will know nothing of evil,
    Whoever slanders his neighbor secretly I will destroy,

[Chorus]
No one who practices deceit shall dwell in my house,
    no one who utters lies shall continue before my eyes,
No one who practices deceit shall dwell in my house,
    I Will Walk with Integrity.

[Verse]
it shall not cling to me,
    A perverse heart shall be far from me,
I will know nothing of evil,
    Whoever slanders his neighbor secretly I will destroy,

[pre-chorus]
it shall not cling to me,
    A perverse heart shall be far from me,
I will know nothing of evil,
    Whoever slanders his neighbor secretly I will destroy,

[Chorus]
No one who practices deceit shall dwell in my house,
    no one who utters lies shall continue before my eyes,
No one who practices deceit shall dwell in my house,
    I Will Walk with Integrity.

[Bridge | Stripped Back | Intimate]
that they may dwell with me,
    he who walks in the way that is blameless shall minister to me,
No one who practices deceit shall dwell in my house,
    no one who utters lies shall continue before my eyes,

[Breakdown | Building | Full Band]
Morning by morning I will destroy all the wicked in the land,
    cutting off all the evildoers from the city of the Lord,
that they may dwell with me,
    he who walks in the way that is blameless shall minister to me,
",,false,chirp-fenix
,"[Intro]

[Verse]
Hear my prayer, O Lord,
    let my cry come to you,
Do not hide your face from me in the day of my distress! Incline your ear to me,
    answer me speedily in the day when I call,

[pre-chorus]
You will arise and have pity on Zion,
    it is the time to favor her,
the appointed time has come,
    For your servants hold her stones dear and have pity on her dust,

[Chorus]
and they will pass away,
    but you are the same, and your years have no end,
and they will pass away,
    Do Not Hide Your Face from Me A Prayer of one afflicted, when he is faint and pours out his complaint before the Lord.

[Verse]
My days are like an evening shadow,
    I wither away like grass,
But you, O Lord, are enthroned forever,
    you are remembered throughout all generations,

[pre-chorus]
You will arise and have pity on Zion,
    it is the time to favor her,
the appointed time has come,
    For your servants hold her stones dear and have pity on her dust,

[Chorus]
and they will pass away,
    but you are the same, and your years have no end,
and they will pass away,
    Do Not Hide Your Face from Me A Prayer of one afflicted, when he is faint and pours out his complaint before the Lord.

[Bridge | Stripped Back | Intimate]
to set free those who were doomed to die,
    that they may declare in Zion the name of the Lord,
and in Jerusalem his praise,
    when peoples gather together,

[Breakdown | Building | Full Band]
and kingdoms,
    to worship the Lord,
He has broken my strength in midcourse,
    he has shortened my days,
",,false,chirp-fenix
,"[Intro]

[Verse]
Bless the Lord,
    O my soul, and all that is within me,
bless his holy name,
    Bless the Lord,

[pre-chorus]
so great is his steadfast love toward those who fear him,
    as far as the east is from the west,
so far does he remove our transgressions from us,
    As a father shows compassion to his children,

[Chorus]
Bless the Lord,
    all his works,
Bless the Lord,
    Bless the Lord, O My Soul.

[Verse]
nor will he keep his anger forever,
    He does not deal with us according to our sins,
nor repay us according to our iniquities,
    For as high as the heavens are above the earth,

[pre-chorus]
so great is his steadfast love toward those who fear him,
    as far as the east is from the west,
so far does he remove our transgressions from us,
    As a father shows compassion to his children,

[Chorus]
Bless the Lord,
    all his works,
Bless the Lord,
    Bless the Lord, O My Soul.

[Bridge | Stripped Back | Intimate]
But the steadfast love of the Lord is from everlasting to everlasting on those who fear him,
    and his righteousness to children’s children,
to those who keep his covenant and remember to do his commandments,
    The Lord has established his throne in the heavens,

[Breakdown | Building | Full Band]
and his kingdom rules over all,
    Bless the Lord,
O you his angels,
    you mighty ones who do his word,
",,false,chirp-fenix
,"[Intro]

[Verse]
! O Lord my God,
    you are very great! You are clothed with splendor and majesty,
covering yourself with light as with a garment,
    stretching out the heavens like a tent,

[pre-chorus]
oil to make his face shine and bread to strengthen man’s heart,
    The trees of the Lord are watered abundantly,
the cedars of Lebanon that he planted,
    In them the birds build their nests,

[Chorus]
for I rejoice in the Lord,
    Let sinners be consumed from the earth,
for I rejoice in the Lord,
    O Lord My God, You Are Very Great Bless the Lord, O my soul.

[Verse]
the earth is satisfied with the fruit of your work,
    You cause the grass to grow for the livestock and plants for man to cultivate,
that he may bring forth food from the earth,
    and wine to gladden the heart of man,

[pre-chorus]
oil to make his face shine and bread to strengthen man’s heart,
    The trees of the Lord are watered abundantly,
the cedars of Lebanon that he planted,
    In them the birds build their nests,

[Chorus]
for I rejoice in the Lord,
    Let sinners be consumed from the earth,
for I rejoice in the Lord,
    O Lord My God, You Are Very Great Bless the Lord, O my soul.

[Bridge | Stripped Back | Intimate]
living things both small and great,
    There go the ships,
and Leviathan,
    which you formed to play in it,

[Breakdown | Building | Full Band]
These all look to you,
    to give them their food in due season,
When you give it to them, they gather it up,
    when you open your hand,
",,false,chirp-fenix
,"[Intro]

[Verse]
call upon his name,
    make known his deeds among the peoples,
Sing to him, sing praises to him,
    tell of all his wondrous works,

[pre-chorus]
When he summoned a famine on the land and broke all supply of bread,
    he had sent a man ahead of them,
Joseph, who was sold as a slave,
    His feet were hurt with fetters,

[Chorus]
And he gave them the lands of the nations,
    and they took possession of the fruit of the peoples ’ toil,
And he gave them the lands of the nations,
    Tell of All His Wonderful Works Oh give thanks to the Lord.

[Verse]
he allowed no one to oppress them,
    he rebuked kings on their account,
saying, Touch not my anointed ones,
    do my prophets no harm,

[pre-chorus]
When he summoned a famine on the land and broke all supply of bread,
    he had sent a man ahead of them,
Joseph, who was sold as a slave,
    His feet were hurt with fetters,

[Chorus]
And he gave them the lands of the nations,
    and they took possession of the fruit of the peoples ’ toil,
And he gave them the lands of the nations,
    Tell of All His Wonderful Works Oh give thanks to the Lord.

[Bridge | Stripped Back | Intimate]
He spoke, and there came swarms of flies,
    and gnats throughout their country,
He gave them hail for rain,
    and fiery lightning bolts through their land,

[Breakdown | Building | Full Band]
He struck down their vines and fig trees,
    and shattered the trees of their country,
He spoke, and the locusts came,
    young locusts without number,
",,false,chirp-fenix
,"[Intro]

[Verse]
Praise the Lord! Oh give thanks to the Lord,
    for he is good,
for his steadfast love endures forever,
    Who can utter the mighty deeds of the Lord,

[pre-chorus]
the earth opened and swallowed up Dathan,
    and covered the company of Abiram,
Fire also broke out in their company,
    the flame burned up the wicked,

[Chorus]
Blessed be the Lord,
    the God of Israel,
Blessed be the Lord,
    Give Thanks to the Lord, for He Is Good.

[Verse]
he gave them what they asked,
    but sent a wasting disease among them,
When men in the camp were jealous of Moses and Aaron,
    the holy one of the Lord,

[pre-chorus]
the earth opened and swallowed up Dathan,
    and covered the company of Abiram,
Fire also broke out in their company,
    the flame burned up the wicked,

[Chorus]
Blessed be the Lord,
    the God of Israel,
Blessed be the Lord,
    Give Thanks to the Lord, for He Is Good.

[Bridge | Stripped Back | Intimate]
and it went ill with Moses on their account,
    for they made his spirit bitter,
and he spoke rashly with his lips,
    They did not destroy the peoples,

[Breakdown | Building | Full Band]
as the Lord commanded them,
    but they mixed with the nations and learned to do as they did,
They served their idols, which became a snare to them,
    They sacrificed their sons and their daughters to the demons,
",,false,chirp-fenix
,"[Intro]

[Verse]
Let the redeemed of the Lord say so,
    whom he has redeemed from trouble,
and gathered in from the lands,
    from the east and from the west,

[pre-chorus]
they loathed any kind of food,
    and they drew near to the gates of death,
Then they cried to the Lord in their trouble,
    and he delivered them from their distress,

[Chorus]
The upright see it and are glad,
    and all wickedness shuts its mouth,
The upright see it and are glad,
    Let the Redeemed of the Lord Say So Oh give thanks to the Lord, for he is good, for his steadfast love endures forever.

[Verse]
for his wondrous works to the children of man,
    For he shatters the doors of bronze and cuts in two the bars of iron,
Some were fools through their sinful ways,
    and because of their iniquities suffered affliction,

[pre-chorus]
they loathed any kind of food,
    and they drew near to the gates of death,
Then they cried to the Lord in their trouble,
    and he delivered them from their distress,

[Chorus]
The upright see it and are glad,
    and all wickedness shuts its mouth,
The upright see it and are glad,
    Let the Redeemed of the Lord Say So Oh give thanks to the Lord, for he is good, for his steadfast love endures forever.

[Bridge | Stripped Back | Intimate]
He made the storm be still,
    and the waves of the sea were hushed,
Then they were glad that the waters were quiet,
    and he brought them to their desired haven,

[Breakdown | Building | Full Band]
Let them thank the Lord for his steadfast love,
    for his wondrous works to the children of man,
Let them extol him in the congregation of the people,
    and praise him in the assembly of the elders,
",,false,chirp-fenix
,"[Intro]

[Verse]
My heart is steadfast,
    O God! I will sing and make melody with all my being,
Awake, O harp and lyre! I will awake the dawn,
    I will give thanks to you, O Lord, among the peoples,

[pre-chorus]
Gilead is mine,
    Manasseh is mine,
Ephraim is my helmet, Judah my scepter,
    Moab is my washbasin,

[Chorus]
Oh grant us help against the foe,
    for vain is the salvation of man,
Oh grant us help against the foe,
    With God We Shall Do Valiantly.

[Verse]
above the heavens! Let your glory be over all the earth,
    That your beloved ones may be delivered,
give salvation by your right hand and answer me,
    God has promised in his holiness : With exultation I will divide up Shechem and portion out the Valley of Succoth,

[pre-chorus]
Gilead is mine,
    Manasseh is mine,
Ephraim is my helmet, Judah my scepter,
    Moab is my washbasin,

[Chorus]
Oh grant us help against the foe,
    for vain is the salvation of man,
Oh grant us help against the foe,
    With God We Shall Do Valiantly.

[Bridge | Stripped Back | Intimate]
upon Edom I cast my shoe,
    over Philistia I shout in triumph,
Who will bring me to the fortified city? Who will lead me to Edom,
    Have you not rejected us,

[Breakdown | Building | Full Band]
O God? You do not go out,
    O God, with our armies,
Oh grant us help against the foe,
    for vain is the salvation of man,
",,false,chirp-fenix
,"[Intro]

[Verse]
Be not silent, O God of my praise,
    For wicked and deceitful mouths are opened against me,
speaking against me with lying tongues,
    They encircle me with words of hate,

[pre-chorus]
Let them be before the Lord continually,
    that he may cut off the memory of them from the earth,
For he did not remember to show kindness,
    but pursued the poor and needy and the brokenhearted,

[Chorus]
With my mouth I will give great thanks to the Lord,
    I will praise him in the midst of the throng,
With my mouth I will give great thanks to the Lord,
    Help Me, O Lord My God.

[Verse]
May his posterity be cut off,
    may his name be blotted out in the second generation,
May the iniquity of his fathers be remembered before the Lord,
    and let not the sin of his mother be blotted out,

[pre-chorus]
Let them be before the Lord continually,
    that he may cut off the memory of them from the earth,
For he did not remember to show kindness,
    but pursued the poor and needy and the brokenhearted,

[Chorus]
With my mouth I will give great thanks to the Lord,
    I will praise him in the midst of the throng,
With my mouth I will give great thanks to the Lord,
    Help Me, O Lord My God.

[Bridge | Stripped Back | Intimate]
because your steadfast love is good, deliver me,
    For I am poor and needy,
and my heart is stricken within me,
    I am gone like a shadow at evening,

[Breakdown | Building | Full Band]
I am shaken off like a locust,
    My knees are weak through fasting,
my body has become gaunt, with no fat,
    I am an object of scorn to my accusers,
",,false,chirp-fenix
,"[Intro]

[Verse]
? Why, O Lord,
    do you stand far away? Why do you hide yourself in times of trouble,
In arrogance the wicked hotly pursue the poor,
    let them be caught in the schemes that they have devised,

[pre-chorus]
he lurks that he may seize the poor,
    he seizes the poor when he draws him into his net,
The helpless are crushed,
    sink down, and fall by his might,

[Chorus]
you will strengthen their heart,
    you will incline your ear,
you will strengthen their heart,
    Why Do You Hide Yourself.

[Verse]
He sits in ambush in the villages,
    in hiding places he murders the innocent,
His eyes stealthily watch for the helpless,
    he lurks in ambush like a lion in his thicket,

[pre-chorus]
he lurks that he may seize the poor,
    he seizes the poor when he draws him into his net,
The helpless are crushed,
    sink down, and fall by his might,

[Chorus]
you will strengthen their heart,
    you will incline your ear,
you will strengthen their heart,
    Why Do You Hide Yourself.

[Bridge | Stripped Back | Intimate]
Why does the wicked renounce God and say in his heart,
    You will not call to account,
But you do see,
    for you note mischief and vexation,

[Breakdown | Building | Full Band]
that you may take it into your hands,
    to you the helpless commits himself,
you have been the helper of the fatherless,
    Break the arm of the wicked and evildoer,
",,false,chirp-fenix
,"[Intro]

[Verse]
The Lord says to my Lord : Sit at my right hand,
    until I make your enemies your footstool,
The Lord sends forth from Zion your mighty scepter,
    Rule in the midst of your enemies,

[pre-chorus]
in holy garments,
    from the womb of the morning,
the dew of your youth will be yours,
    The Lord has sworn and will not change his mind,

[Chorus]
filling them with corpses,
    he will shatter chiefs over the wide earth,
filling them with corpses,
    Sit at My Right Hand.

[Verse]
in holy garments,
    from the womb of the morning,
the dew of your youth will be yours,
    The Lord has sworn and will not change his mind,

[pre-chorus]
in holy garments,
    from the womb of the morning,
the dew of your youth will be yours,
    The Lord has sworn and will not change his mind,

[Chorus]
filling them with corpses,
    he will shatter chiefs over the wide earth,
filling them with corpses,
    Sit at My Right Hand.

[Bridge | Stripped Back | Intimate]
The Lord is at your right hand,
    he will shatter kings on the day of his wrath,
He will execute judgment among the nations,
    filling them with corpses,

[Breakdown | Building | Full Band]
he will shatter chiefs over the wide earth,
    He will drink from the brook by the way,
therefore he will lift up his head,
    The Lord is at your right hand,
",,false,chirp-fenix
,"[Intro]

[Verse]
Praise the Lord! I will give thanks to the Lord with my whole heart,
    in the company of the upright,
in the congregation,
    Great are the works of the Lord,

[pre-chorus]
He has caused his wondrous works to be remembered,
    the Lord is gracious and merciful,
He provides food for those who fear him,
    he remembers his covenant forever,

[Chorus]
Holy and awesome is his name,
    The fear of the Lord is the beginning of wisdom,
Holy and awesome is his name,
    Great Are the Lord ’s Works.

[Verse]
He has caused his wondrous works to be remembered,
    the Lord is gracious and merciful,
He provides food for those who fear him,
    he remembers his covenant forever,

[pre-chorus]
He has caused his wondrous works to be remembered,
    the Lord is gracious and merciful,
He provides food for those who fear him,
    he remembers his covenant forever,

[Chorus]
Holy and awesome is his name,
    The fear of the Lord is the beginning of wisdom,
Holy and awesome is his name,
    Great Are the Lord ’s Works.

[Bridge | Stripped Back | Intimate]
all his precepts are trustworthy,
    they are established forever and ever,
to be performed with faithfulness and uprightness,
    He sent redemption to his people,

[Breakdown | Building | Full Band]
he has commanded his covenant forever,
    Holy and awesome is his name,
The fear of the Lord is the beginning of wisdom,
    all those who practice it have a good understanding,
",,false,chirp-fenix
,"[Intro]

[Verse]
Praise the Lord! Blessed is the man who fears the Lord,
    who greatly delights in his commandments,
His offspring will be mighty in the land,
    the generation of the upright will be blessed,

[pre-chorus]
He is not afraid of bad news,
    his heart is firm, trusting in the Lord,
His heart is steady,
    he will not be afraid,

[Chorus]
his horn is exalted in honor,
    The wicked man sees it and is angry,
his horn is exalted in honor,
    The Righteous Will Never Be Moved.

[Verse]
It is well with the man who deals generously and lends,
    who conducts his affairs with justice,
For the righteous will never be moved,
    he will be remembered forever,

[pre-chorus]
He is not afraid of bad news,
    his heart is firm, trusting in the Lord,
His heart is steady,
    he will not be afraid,

[Chorus]
his horn is exalted in honor,
    The wicked man sees it and is angry,
his horn is exalted in honor,
    The Righteous Will Never Be Moved.

[Bridge | Stripped Back | Intimate]
until he looks in triumph on his adversaries,
    He has distributed freely,
he has given to the poor,
    his righteousness endures forever,

[Breakdown | Building | Full Band]
his horn is exalted in honor,
    The wicked man sees it and is angry,
he gnashes his teeth and melts away,
    the desire of the wicked will perish,
",,false,chirp-fenix
,"[Intro]

[Verse]
? Praise the Lord! Praise,
    O servants of the Lord,
praise the name of the Lord,
    Blessed be the name of the Lord from this time forth and forevermore,

[pre-chorus]
the name of the Lord is to be praised,
    The Lord is high above all nations,
and his glory above the heavens,
    Who is like the Lord our God, who is seated on high,

[Chorus]
with the princes of his people,
    He gives the barren woman a home,
with the princes of his people,
    Who Is like the Lord Our God.

[Verse]
the name of the Lord is to be praised,
    The Lord is high above all nations,
and his glory above the heavens,
    Who is like the Lord our God, who is seated on high,

[pre-chorus]
the name of the Lord is to be praised,
    The Lord is high above all nations,
and his glory above the heavens,
    Who is like the Lord our God, who is seated on high,

[Chorus]
with the princes of his people,
    He gives the barren woman a home,
with the princes of his people,
    Who Is like the Lord Our God.

[Bridge | Stripped Back | Intimate]
He raises the poor from the dust and lifts the needy from the ash heap,
    to make them sit with princes,
with the princes of his people,
    He gives the barren woman a home,

[Breakdown | Building | Full Band]
making her the joyous mother of children,
    Praise the Lord,
He raises the poor from the dust and lifts the needy from the ash heap,
    to make them sit with princes,
",,false,chirp-fenix
